station_id,station_name
40010,Austin
40020,Harlem/Lake
40030,Pulaski
40040,Quincy/Wells
40050,Davis
40060,Belmont
40070,Jackson
40080,Sheridan
40090,Damen
40100,Morse
40120,35th/Archer
40130,51st
40140,Dempster-Skokie
40150,Pulaski
40160,LaSalle/Van Buren
40170,Ashland
40180,Oak Park
40190,Sox-35th
40210,Damen
40220,Western
40230,Cumberland
40240,79th
40250,Kedzie-Homan
40260,State/Lake
40270,Main
40280,Central
40290,Ashland/63rd
40300,Indiana
40310,Western
40320,Division
40330,Grand
40340,Berwyn
40350,UIC-Halsted
40360,Southport
40370,Washington
40380,Clark/Lake
40390,Forest Park
40400,Noyes
40420,Cicero
40430,Clinton
40440,California
40450,95th/Dan Ryan
40460,Merchandise Mart
40470,Racine
40480,Cicero
40490,Grand
40510,Garfield
40520,Foster
40530,Diversey
40540,Wilson
40550,Irving Park
40560,Jackson
40570,California
40580,54th/Cermak
40590,Damen
40600,Kostner
40610,Ridgeland
40630,Clark/Division
40650,North/Clybourn
40660,Armitage
40670,Western
40680,Adams/Wabash
40690,Dempster
40700,Laramie
40710,Chicago
40720,Cottage Grove
40730,Washington/Wells
40740,Western
40750,Harlem
40760,Granville
40770,Lawrence
40780,Central Park
40790,Monroe
40800,Sedgwick
40810,Illinois Medical District
40820,Rosemont
40830,18th
40840,South Boulevard
40850,Harold Washington Library-State/Van Buren
40870,Francisco
40880,Thorndale
40890,O'Hare
40900,Howard
40910,63rd
40920,Pulaski
40930,Midway
40940,Halsted
40960,Pulaski
40970,Cicero
40980,Harlem
40990,69th
41000,Cermak-Chinatown
41010,Rockwell
41020,Logan Square
41030,Polk
41040,Kedzie
41050,Linden
41060,Ashland
41070,Kedzie
41080,47th
41090,Monroe
41120,35th-Bronzeville-IIT
41130,Halsted
41140,King Drive
41150,Kedzie
41160,Clinton
41170,Garfield
41180,Kedzie
41190,Jarvis
41200,Argyle
41210,Wellington
41220,Fullerton
41230,47th
41240,Addison
41250,Central
41260,Austin
41270,43rd
41280,Jefferson Park
41290,Kimball
41300,Loyola
41310,Paulina
41320,Belmont
41330,Montrose
41340,LaSalle
41350,Oak Park
41360,California
41380,Bryn Mawr
41400,Roosevelt
41410,Chicago
41420,Addison
41430,87th
41440,Addison
41450,Chicago
41460,Irving Park
41480,Western
41490,Harrison
41500,Montrose
41510,Morgan
41660,Lake
41670,Conservatory
41680,Oakton-Skokie
41690,Cermak-McCormick Place
41700,Washington/Wabash
41710,Damen
